"","contig","length","AL0002_S124","AL0003_S134","AL0004_S144","CH0001_S154","CH0002_S83","CH0006_S93","CH0012_S103","CH0016_S114","CH0018_S125","CH0019_S135","CH0020_S145","CH0022_S155","CH0023_S84","CH0030_S94","CH0035_S104","CH0038_S115","CH0039_S126","CH0050_S136","CH0055_S146","DU0002_S32","DU0004_S42","DU0005_S52","DU0007_S62","DU0010_S72","DU0012_S82","DU0013_S11","DU0017_S22","DU0019_S112","DU0034_S123","DU0038_S133","DU0047_S143","DU0058_S153","DU0059_S163","DU0063_S92","DU0064_S102","DU0071_S113","DU0074_S29","DU0076_S26","DU0077_S3","DU0083_S1","DU0087_S4","DU0089_S14","DU0099_S24","IT103_S55","IT11_S34","IT148_S66","IT173_S76","IT197_S5","IT202_S15","IT222_S25","IT226_S35","IT230_S45","IT236_S56","IT254_S67","IT257_S77","IT261_S6","IT271_S16","IT309_S26","IT311_S36","IT315_S46","IT323_S57","IT337_S68","IT338_S78","IT339_S7","IT361_S17","IT381_S27","IT52_S44","IT85_S58","KL0002_S156","KL0003_S85","KL0004_S95","KL0006_S105","KL0007_S116","KL0008_S127","KL0009_S137","KL0010_S147","KL0011_S157","KL0012_S10","KL0013_S86","KL0014_S96","KL0016_S106","KL0017_S117","KL0018_S128","KL0019_S138","KL0020_S37","KL0021_S148","KL0022_S158","KL0023_S87","KL0024_S97","KL0025_S107","KL0026_S118","KL0027_S129","KL0028_S139","KL0029_S149","KL0031_S159","KL0035_S88","KL0036_S98","KL0037_S108","KL0039_S119","KL0040_S130","KL0041_S140","KL0042_S150","KL0043_S160","SBE0003_S40","SBE0004_S51","SBE0006_S62","SBE0007_S72","SBE0008_S1","SBE0009_S11","SBE0010_S21","SBE0011_S31","SBE0012_S41","SBE0015_S52","SBE0018_S63","SG0001_S89","SG0002_S99","SG0003_S109","SG0006_S120","SG0012_S131","SG0024_S141","SG0025_S151","SG0028_S161","SG0031_S90","TBE0001_S73","TBE0002_S2","TBE0003_S12","TBE0004_S22","TBE0005_S32","TBE0006_S42","TBE0007_S53","TBE0008_S64","TBE0009_S74","TBE0010_S3","TBE0011_S13","TBE0012_S23","TBE0013_S33","TBE0014_S43","TBE0015_S133","TBE0016_S142","TBS002_S63","TBS006_S66","TBS011_S40","TBS035_S33","TBS150_S43","TBS153_S71","TBS160_S28","TBS165_S41","TBS277_S78","TBS349_S69","TBS365_S81","TBS385_S73","TBS387_S47","TBS396_S4","TBS425_S56","TBS435_S44","TBS442_S70","TBS461_S37","TBS466_S7","TBS467_S17","TBS468_S59","TBS469_S60","TBS479_S75","TBS480_S80","TBS488_S21","TBS516_S25","TBS524_S49","TBS556_S34","TBS559_S20","TBS587_S9","TBS596_S14","TBS656_S45","TBS663_S5","TBS664_S8","TBS668_S51","TBS670_S12","TBS671_S67","TBS672_S48","TH0007_S20","TH0008_S30","TH0016_S54","TH0017_S65","TH0019_S75","TT0003_S100","TT0005_S110","TT0006_S121","TT0009_S132","TT0010_S142","TT0011_S152","TT0012_C1","TT0014_S162","TT0015_S91","TT0016_C1","TT0017_S101","TT0018_S111","TT0019_S122","TT0021_S48","TT0025_S1","TT0029_S64","TT0030_S59","TT0031_S69","TT0033_S79","TT0034_S8","TT0038_S18","TT0040_S47","TT0042_S28","TT0043_S38","TT0045_S49","TT0048_S60","TT0049_S70","TT0051_S80","TT0053_S9","TT0059_S19","TT0060_S29","TT0061_S39","TT0062_S50","TT0063_S61","TT0065_S71","TT0067_S81","TT0069_S10","TTS1106_S54","TTS1108_S15","TTS1111_S53","TTS1115_S50","TTS1116_S57","TTS1118_S65","TTS1120_S38","TTS1122_S79","TTS1123_S10","TTS1131_S31","TTS1134_S35","TTS1141_S18","TTS1146_S76","TTS1149_S46","TTS1160_S6","TTS1170_S27","TTS1188_S58","TTS1189_S61","TTS1194_S68","TTS1200_S77","TTS1203_S39","TTS1204_S2","TTS1205_S19","TTS1210_S64","TTS1212_S36","TTS1214_S16","TTS1223_S23","TTS1263_S30","TTS1272_S24","TTS1301_S13","TTS1320_S74","TTS1330_S55"
"916","k141_1946678.concoct_part_0",10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,8397,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"917","k141_3078430.concoct_part_2",10387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918","k141_2317376.concoct_part_0",1342,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,16,0,0,4,0,2,0,0,2,10,2,4,0,0,6,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,29,2,0,0,1,6,0,0,0,0,0,0,8,0,0,0,55,0,4,0,2,2,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,20,0,0,2,0,0,0,0,2,2,0,0,21,2,0,0,0,0,0,0,1,0,19,0,0,5,0,0,0,0,5,16,0,0,12,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,4,2,0,14,0,15,0,34,11,0,0,0,0,0,0,0,0,0,0,0,105,2,34,0,0,17,21,20,0,0,0,0,10,0,39,0,0,8,0,4,0,0,26,13,2,0,0,8,0,31,1,12,0,0,4,0,2,0
"919","k141_1589614.concoct_part_0",2371,0,0,0,22,16,0,5,0,1,0,0,0,2,0,2,0,0,9,0,0,3,5,0,129,0,0,64,0,195,0,0,234,57,8,42,0,5,68,251,0,40,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0,1,119,0,0,0,87,53,1,0,2,1,0,112,16,0,0,0,0,0,64,0,1,0,0,0,5,0,0,0,9,0,14,0,0,0,1,0,0,0,0,0,0,3,59,2,0,50,0,0,2,0,0,0,0,0,817,9,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,62,97,0,0,2,16,2,0,0,0,6,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,108,0,0,0,6,0,0,0,0,0,0,2,0,0,0,48,0,2,4,0,6,0,0,89,0,0,0,0,0,487,0,4,82,0,6,0,16,12,13,0,0,2,2,0,0,1,0,1,4,155,0,13,0,0,0,0,10,10,0,0,0,20,0,6,0,0,8,0,0,0,0,32,26,2,0,0,29,0,113,0,18,0,0,0,0,0,0
"920","k141_3426554.concoct_part_2",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,8549,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"921","k141_2690013.concoct_part_0",12459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"922","k141_3426655.concoct_part_0",1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,47,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,6,0,14,0,0,0,2,0,0,0,0
"923","k141_2690111.concoct_part_0",1694,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"924","k141_4179708.concoct_part_0",2303,0,0,0,6,7,0,20,0,0,0,0,0,0,0,1,0,0,2,0,0,0,24,0,148,0,0,29,7,14,0,0,7,41,10,2,0,0,10,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,16,0,0,0,0,191,0,0,2,0,0,11,11,0,0,0,8,0,2,0,4,0,0,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,6,0,24,1,0,0,18,0,0,0,0,0,0,0,0,4,32,0,0,0,0,22,0,0,0,7,0,0,5,0,0,31,0,4,90,0,0,10,17,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,39,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,52,6,7,0,0,0,0,0,2,0,2,2,0,6,0,3,0,2,0,8,0,0,1,0,0,2,2,0,0,0,0,0,12,0,0,2,0,11,2,0,0,0,4,0,48,0,0,2,0,0,0
"925","k141_3079658.concoct_part_0",1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"926","k141_4180505.concoct_part_0",7164,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,2,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,2,27,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,8,0,6,14,0,0,0,2,0,0,0,0,0,0,0,241,2,0,0,0,2,2,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,4,0,0,0,4,0,45,0,4,0,0,0,0,0,0
"927","k141_1948046.concoct_part_0",1103,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,27,0,0,4,4,4,0,0,4,27,6,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,4,1,0,0,2,0,0,0,0,2,0,0,0,0,14,0,0,0,0,5,0,0,0,2,0,0,1,0,0,12,0,0,47,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,14,0,0,0,0,11,0,0,2,0,1,0,0,0,0,0,0,0,0,14,0,3,0,0,32,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,15,0,0,0,0,0,0
"928","k141_3790093.concoct_part_0",1424,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,51,0,0,19,0,8,4,0,2,0,2,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,0,37,0,0,5,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,6,0,5,3,0,0,15,0,2,0,0,0,0,0,0,283,2,0,0,0,0,1,0,75,0,0,0,0,2,0,0,6,0,50,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,87,0,1,0,0,1,0,0,14,0,0,0,0,0,75,2,0,6,0,1,0,9,4,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,8,0,0,10,0,0,0,0,29,4,0,0,0,2,0,157,0,8,1,0,0,0,0,0
"929","k141_3080282.concoct_part_0",1285,0,0,0,4,0,0,0,5,0,0,0,0,17,0,6,0,0,0,0,0,10,370,0,288,0,0,33,28,32,0,0,61,51,7,22,17,0,103,266,0,44,40,8,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,18,0,2,0,0,0,12,2,0,0,2,73,4,0,2,0,0,8,2,0,0,0,14,0,45,0,579,65,3,0,270,0,1,0,3,0,8,0,0,0,0,0,0,0,0,7,0,7,6,0,0,5,0,0,3,1,0,2,0,0,173,6,0,2,0,0,4,0,16,0,167,4,0,6,2,0,7,0,59,92,0,4,2,6,0,0,2,0,12,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,43,0,0,0,0,0,0,0,2,0,4,0,0,0,0,13,0,0,4,2,4,0,0,29,0,0,0,1,0,121,19,0,8,0,61,0,32,3,5,0,0,0,0,2,0,0,0,2,0,150,4,24,0,0,54,24,4,2,0,0,0,4,2,25,0,2,2,0,0,0,0,26,17,2,8,0,8,3,111,0,28,0,0,0,0,10,0
"930","k141_4181183.concoct_part_0",2434,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,14,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,2,0,0,24,0,0,0,0,0,0,0,0,78,6,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,10,6,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,6,0,0,0,20,8,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0,0,0,14,0,2,0,0,23,0,0,0,0,2,0,143,0,2,0,0,0,0,0,0
"931","k141_485565.concoct_part_0",1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,41,0,4,0,0,14,16,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,6,0,0,11,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,17,0,9,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"932","k141_3080762.concoct_part_0",9051,0,0,0,16,62,0,12,0,0,0,0,0,0,0,61,0,0,7,0,0,4,4,0,50,0,0,196,590,97,1,0,271,177,4,18,0,6,50,48,0,22,0,8,2,2,2,0,0,2,0,2,0,0,0,0,0,4,32,314,0,0,0,0,0,251,12,0,0,42,69,0,1,4,0,0,2,37,0,0,0,224,0,830,0,4,0,12,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,4,0,164,35,0,0,7,0,0,0,4,0,0,0,2,7,209,0,0,0,0,26,0,11,0,0,1,0,3,0,0,31,2,11,212,0,24,6,22,2,2,6,0,18,0,6,0,0,0,4,0,0,2,4,0,0,6,0,10,6,2,50,0,0,0,2,0,0,7,12,2,8,0,0,1,0,0,0,0,20,0,12,0,0,0,0,0,0,2,0,324,0,0,0,0,106,2,75,16,28,0,0,0,2,0,0,0,4,2,2,8,0,46,0,2,0,53,1,6,10,0,4,14,0,0,0,33,51,0,2,0,0,13,0,8,0,0,5,4,400,0,463,0,4,2,0,8,0
"933","k141_1592035.concoct_part_0",1999,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,2,0,2,0,2,2,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,121,0,0,0,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,12,2,0,0,0,0,8,0,0,0,4,0,0,2,0,0,2,0,2,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,4,2,0,0,2,0,2,0,0,0,0,0,2,21,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,6,0,0,0,0,2,0,0,0,0,23,0,0,0,0,4,0,0,0,0,3,0,6,0,4,0,0,0,0,2,0
"934","k141_2691811.concoct_part_0",1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"935","k141_486082.concoct_part_0",2895,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,118,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"936","k141_2319637.concoct_part_1",10000,0,0,0,0,0,0,277,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,10,172,0,179,0,0,0,134,0,0,0,0,0,0,0,0,10,16,142,40,4,0,173,0,0,192,0,83,112,5,2,0,119,0,0,0,0,0,18,40,0,0,0,12,25,0,0,43,0,0,142,40,0,0,2,0,10,0,0,189,1,0,10,0,361,0,0,494,4,1,0,0,0,0,0,0,12,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,292,0,15,0,226,1,274,8,0,0,0,0,0,0,0,491,0,0,50,0,0,0,234,0,0,0,0,0,0,0,183,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,17,0,0,284,0,0,0,38,443,0,8,64,1,0,0,0,729,0,0,0,0,372,0,0,61,75,0,0,7,163,0,0,0,6,0,850,0,0,0,85,0,0,0,0,14,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
"937","k141_486288.concoct_part_0",1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,15,10,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,2,0,6,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0
